geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (4513.144469197839 2425.921727697476),361,78.09357103655314,172.98693256757605,4.202492938263703
POINT (1482.8873708845317 507.24806855663763),357,78.07755915821225,171.07778993449978,4.366218284353221
POINT (1483.1778606967703 1406.0132074614678),487,81.3441990555214,222.21101402969435,4.07602863364306
POINT (1650.9721967440144 2715.443250104183),484,100.66472712673051,229.0727851278672,3.047568884560826
POINT (3574.494360001512 908.7114688367473),449,83.82614305725491,208.7740291491092,3.4337786400724513
POINT (3983.186794356768 2362.242732262685),446,79.4160198107127,204.8842401529677,3.504482821979789
POINT (4142.510614799641 4236.317530768299),260,71.45853844958553,131.89395861832875,3.2936530822432135
POINT (1356.4461741411344 2421.8590597699385),508,109.3609818577657,241.3806785062988,2.418828067350637
POINT (2932.617571757175 3464.8902540575396),451,90.54283193652162,212.07193258685808,3.78545316411357
POINT (2009.46699388406 1097.4729203568338),434,81.20018399167748,199.7760662247707,4.777759135972945
POINT (4193.263198715088 3188.9428536222545),427,84.29494086596662,200.87422269780234,3.481881564872559
POINT (1816.4547138012992 2940.4800585218322),471,94.79808025557419,223.23704060718498,3.242795046429393
POINT (48.74339360364026 1485.0054494682122),293,45.406493454367784,130.86468824546682,3.6715220056947517
POINT (1888.745914176238 3687.759795460766),411,97.30369739654678,201.7202246726535,2.6351416362700992
POINT (978.8384582398197 1709.1972336958709),489,104.64641183386199,234.47914645615532,2.7185952799237896
POINT (659.9282335079293 1949.9774229896893),474,116.04213665888744,232.47416186117624,4.073213498731549
POINT (2617.887884548334 1153.960114949846),440,82.17089833515587,204.3461995122732,1.88951286597286
POINT (1784.3872241452038 1482.8444426242152),462,80.06949995737017,210.0068495495397,2.066003662471647
POINT (3849.6069888286015 640.0877745102941),422,85.21173308776481,198.66285514717566,2.568391892451517
POINT (3025.0810947130635 135.5634773000313),264,65.93465269522062,130.53908856956176,4.637556138118806
POINT (3079.562029658012 2343.515084852809),450,87.17577034689805,209.94168499649024,2.990461735970506
POINT (30.334021941117705 4232.616425877477),139,30.693487549764388,67.51824046758222,4.287357278345965
POINT (3473.341160720799 659.7771879455265),418,79.74399835628564,195.47541187658433,2.9003540609348786
POINT (73.49302028206489 4200.102438744719),149,34.38843441513339,73.48665744133872,4.931366552055447
POINT (1584.2936301200778 2038.4412229827778),498,97.29249916369642,231.41875942253844,3.1016061077881565
POINT (1373.6308017548795 1452.4627450655898),496,84.17194828911667,226.56764820644145,4.657404824571984
POINT (26.281754210485634 2143.800040287038),260,44.83774293431827,118.24777071986487,2.762800842230898
POINT (663.9075729953576 2276.740543191265),447,115.96005457011742,222.8686904342615,4.282743331618818
POINT (134.11899008746104 3739.3162929804466),210,68.03028674671343,110.67768714145754,3.8061262628418255
POINT (795.7847885403105 661.4089624274658),404,101.68956129877856,203.10923841302252,4.326856962852986
POINT (242.56302418684322 1097.0890962397639),347,84.60637053280891,170.2125618647412,2.7214172927062235
POINT (3997.3881599603537 662.7874876719442),406,89.5725348489009,195.41329228066695,2.7958782135435394
POINT (1483.4278330797626 3546.0532097753476),414,86.39023113646846,195.07993278219155,2.023287142489541
POINT (1995.7449723818609 1924.4250660897674),461,85.15871391823588,212.4379763051962,3.185380544880479
POINT (3548.1004550047974 4124.243461417771),315,75.66272984329429,152.54623816808277,3.2253070805745354
POINT (4132.724197269996 3632.120020974447),391,92.84227443380585,192.64530234868113,3.075971365260351
POINT (1640.1864192572887 3192.51997425685),459,90.837696029341,216.23911209725213,1.3114476391197802
POINT (4839.177471071889 4039.256813160679),220,48.818404093458724,105.20541651794014,4.145503722141519
POINT (4373.846752867601 1044.8459208685247),420,95.63742443617559,205.06989390991052,3.187505474764797
POINT (1665.6649974876236 3297.8907138657496),454,91.96800564128175,213.98600797674797,2.757543086798497
POINT (3898.580281353972 934.350122329662),466,93.81389726177571,219.38397388930935,2.956255895541367
POINT (3553.1880080290784 3462.724970398973),438,89.76991817975141,208.83902841775307,2.1229036284522156
POINT (713.1896204766576 3530.3787493539025),368,77.75114042295934,176.15682972714205,2.6794924859089218
POINT (603.7355835193526 3009.8307018246637),396,76.73927250146475,186.37642863864573,2.7735161269869604
POINT (2338.2290429236728 2063.4375931337354),453,85.75048917810653,209.1186927646249,3.7685231386463753
POINT (1881.5919533924628 3904.0294445634718),369,85.73662304004623,179.5986215990451,2.9955172893638427
POINT (3190.8590080799468 1838.896178897868),464,92.68007456696863,217.2373826343781,4.900475083680419
POINT (1662.304258824909 1428.7640710965823),479,81.64559045239639,217.6977074186223,1.9786092112624598
POINT (3683.7930923927893 33.327852046868536),234,47.57490428850243,109.61777513653514,2.51047072827562
POINT (53.88899082132524 3474.788270715493),214,62.69720491488954,110.17418849162661,2.2576789170428
POINT (302.64549536130676 2531.8866625143874),344,77.71033108831097,165.77360927977884,2.455750238608146
POINT (4176.457934628592 3269.1719257057334),445,83.86182657447088,206.3684873016636,2.3186449260716997
POINT (4625.508444692901 1923.231856832589),356,82.62887240438246,171.75403556922112,2.9186088403032104
POINT (4016.100507658873 2372.295958670072),448,79.22979962790197,205.69927790999182,2.895322082667228
POINT (486.95015131878927 2252.892738145295),393,104.8320638496201,196.50538363484617,2.694300051587539
POINT (40.533887510747974 1318.8097797671405),277,50.33060482340026,126.58695338769407,4.180875810981692
POINT (2088.7379145960113 2826.365078235524),471,94.96333676771374,221.0538815516395,1.0874307146267963
POINT (2363.5134806504193 1634.898097257398),424,87.38728230974132,199.42985716704737,3.3312547424040093
